depth_cm,depth_mm,depth_m,source,LAT,LON,elevation,date_agg,date_agg2,M,D,Y,SWE_hill,SWE_sturm,albersX,albersY,Snow_Class,DOY,Dist_Snotel_km
192,1920,1.92,fieldwork,61.19056,-145.48411,956,2018 5 15,2018 5 15,5,14,2018,0.717,0.669,436484.8965,1259850.592,1,134,8.818407763
224,2240,2.24,fieldwork,61.18902,-145.48114,1042,2018 5 15,2018 5 15,5,14,2018,0.83,0.789,436444.8086,1260277.264,1,134,8.758369438
263,2630,2.63,fieldwork,61.18566,-145.47933,1180,2018 5 15,2018 5 15,5,15,2018,0.979,1.161,436564.3864,1259046.745,3,135,9.096373656
99,990,0.99,fieldwork,61.09028,-145.86788,375,2018 5 15,2018 5 15,5,15,2018,0.419,0.331,436474.1521,1259229.464,1,135,16.27740165
187,1870,1.87,fieldwork,61.08911,-145.86419,440,2018 5 15,2018 5 15,5,15,2018,0.812,0.802,443855.523,1271987.714,3,135,16.32987779
176,1760,1.76,fieldwork,61.08611,-145.86264,470,2018 5 15,2018 5 15,5,15,2018,0.749,0.752,444304.7087,1271968.663,3,135,17.54557548
154,1540,1.54,fieldwork,61.08375,-145.86187,540,2018 5 15,2018 5 15,5,15,2018,0.654,0.334,443245.5789,1271393.72,2,135,16.61442053
152,1520,1.52,fieldwork,61.07992,-145.8621,583,2018 5 15,2018 5 15,5,15,2018,0.645,0.643,442295.72,1271639.879,3,135,16.45457425
196,1960,1.96,fieldwork,61.07442,-145.86371,715,2018 5 15,2018 5 15,5,15,2018,0.836,0.684,442764.2033,1271621.92,1,135,17.44623769
94,940,0.94,fieldwork,61.0727,-145.86246,750,2018 5 15,2018 5 15,5,15,2018,0.391,0.314,442911.0522,1271510.7,1,135,16.93373606
105,1050,1.05,fieldwork,61.1788,-145.68968,681,2018 5 15,2018 5 22,5,16,2018,0.438,0.353,442494.5163,1271639.978,1,136,2.626343689
102,1020,1.02,fieldwork,61.17947,-145.69795,761,2018 5 15,2018 5 22,5,16,2018,0.425,0.342,442542.5052,1269720.734,1,136,3.474002703
120,1200,1.2,fieldwork,61.18075,-145.70897,810,2018 5 15,2018 5 22,5,16,2018,0.504,0.502,442831.818,1269568.729,7,136,2.981139405
235,2350,2.35,fieldwork,61.18243,-145.70981,872,2018 5 15,2018 5 22,5,16,2018,0.999,0.832,454797.5016,1276119.163,1,136,3.653841395
154,1540,1.54,fieldwork,61.18242,-145.71356,950,2018 5 15,2018 5 22,5,16,2018,0.65,0.653,442295.72,1271639.879,7,136,3.459473451
151,1510,1.51,fieldwork,61.18189,-145.72122,1030,2018 5 15,2018 5 22,5,16,2018,0.64,0.518,454558.7164,1275688.054,1,136,4.588233726
240,2400,2.4,fieldwork,61.18341,-145.73186,1165,2018 5 15,2018 5 22,5,16,2018,1.026,0.851,454776.4738,1275989.021,1,136,4.067142008
